is_notre_dame,is_opponent,id,first_name,last_name,middle_name,suffix,created_at,updated_at
"true","true","3","'Brian'","'Kelly'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","4","'Charlie'","'Weis'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","6","'Edward'","'McKeever'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","7","'Elmer'","'Layden'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","8","'Frank'","'Hering'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","9","'Frank'","'Leahy'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","10","'Frank'","'Longman'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","11","'Gerry'","'Faust'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","12","'H.G.'","'Hadden'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","13","'Henry'","'McGlew'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","14","'Hugh'","'Devore'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","15","'Hunk'","'Anderson'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","16","'James'","'Farragher'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","17","'James'","'McWeeney'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","18","'James'","'Morrison'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","20","'Joe'","'Kuharich'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","21","'John'","'Marks'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","22","'Kent'","'Baer'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","23","'Knute'","'Rockne'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","24","'Lou'","'Holtz'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","25","'Pat'","'O'Dea'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","26","'Red'","'Salmon'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","27","'Terry'","'Brennan'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","28","'Thomas'","'Barry'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","30","'Victor'","'Place'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:27:42.0877+00:00'"
"true","true","1","'Ara'","'Parseghian'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:31:31.369193+00:00'"
"true","true","2","'Bob'","'Davie'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:31:31.369193+00:00'"
"true","true","5","'Dan'","'Devine'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:31:31.369193+00:00'"
"true","true","19","'Jesse'","'Harper'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:31:31.369193+00:00'"
"true","true","29","'Tyrone'","'Willingham'","''","null","'2021-09-23T00:25:22.75047+00:00'","'2021-09-23T00:31:31.369193+00:00'"
"false","true","31","'A.E.'","'Hernstein'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","32","'A.J.'","'Jones'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","33","'Ad'","'Lindsey'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","34","'Al'","'Conover'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","35","'Al'","'Golden'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","36","'Al'","'Onofrio'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","37","'Albert'","'Barron'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","38","'Alex'","'Agase'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","39","'Alpha'","'Jamison'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","40","'Amos'","'Stagg'","'Alonzo'","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","41","'Andy'","'Gustafson'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
