id,name,created_at,updated_at
"1","'Adrian'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"2","'Air Force'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"3","'Akron'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"4","'Alabama'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"5","'Albion'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"6","'Alma'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"7","'American Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"8","'Arizona'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"9","'Arizona State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"10","'Army'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"11","'Ball State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"12","'Baylor'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"13","'Beloit'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"14","'Bennett Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"15","'Boston College'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"16","'Bowling Green'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"17","'Butler'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"18","'BYU'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"19","'California'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"20","'Carlisle'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"21","'Carnegie Mellon'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"22","'Case Tech'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"23","'Chicago'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"24","'Chicago Dental Infirmary'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"25","'Chicago Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"26","'Chicago Physicians & Surgeons'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
