A.E.,,Hernstein
A.J.,,Jones
Ad,,Lindsey
Al,,Conover
Al,,Golden
Al,,Onofrio
Albert,,Barron
Alex,,Agase
Alpha,,Jamison
Amos,Alonzo,Stagg
Andy,,Gustafson
Art,,Curtis
Arthur,,Hamrick
Ben,,Martin
Ben,,Schwartzwalder
Bennie,,Ellender
Bernie,,Bierman
Bernie,,Crimmins
Bernie,,Masterson
Bert,,Kennedy
Biff,,Jones
Biggie,,Munn
Bill,,Arnsparger
Bill,,Barnes
Bill,,Cubit
Bill,,Curry
Bill,,Doba
Bill,,Dooley
Bill,,Elias
Bill,,Hargiss
Bill,,Hollenback
Bill,,Ingram
Bill,,Kern
Bill,,Mallory
Bill,,McCartney
Bill,,Meek
Bill,,Murray
Bill,,Parcells
Bill,,Roper
Bill,,Walsh
Bill,,Yeoman
Billick,,Whelchel
Billy,,Brewer
Billy,,Tohill
Blaine,,McKusick
Bo,,McMillin
Bo,,Schembechler
Bob,,DeMoss
Bob,,Devaney
Bob,,Hicks
Bob,,Stoops
Bob,,Sutton
Bob,,Voights
Bob,,Wagner
Bob,,Zuppke
Bobby,,Bowden
Bobby,,Collins
Bobby,,Dodd
Bobby,,Petrino
Bobby,,Ross
Bobby,,Williams
Brady,,Hoke
Brian,,Polian
Bronco,,Mendenhall
Bruce,,Snyder
Bud,,Carson
Bud,,Wilkinson
Buddy,,Teevens
Burt,,Kennedy
Butch,,Davis
Butch,,Scanlon
C.J,,Kenney
C.M.,,Best
C.M.,,Hollister
Carl,,DePasqua
Carl,,Peters
Carl,,Selmer
Carl,,Snavely
Cecil,,Isbell
Chalmer,,Woodward
Chan,,Gailey
"Charles ""Gus""",,Dorais
Charles,,Bemies
Charles,,Daly
Charles,,Fairweather
Charley,,Pell
Charlie,,McClendon
Charlie,,Strong
Charlie,,Tate
Charlie,,Weatherbie
Chauncey,L.,Berrien
Chester,,Brewer
Chris,,Ault
Chuck,,Amato
Chuck,,Fairbanks
Chuck,,Long
Chuck,,Martin
Clarence,,Herschberger
